Status	CodigoSAP	Conta	CUP	Negocio	OrganizacaoVendas	ListaPrecoCodigo	ListaPrecoNome	DataFixacaoPreco	GrupoPreco	CondicaoPagamento	CodigoCondicaoPagamento	CodigoProduto	StatusVenda	M2PorCx	ClasseUso	CoefAtrito	Origem	Diferenciais	Produto	QtdePallet	Espessura	Hierarquia1	Hierarquia2	Hierarquia3	CodigoBarras	NCM	CEST	PesoBruto	PesoLiquido	UnidadeMedidaPeso	Moeda	PercentualAcrescimo	PercentualAVP	ValorAVP	PercentualMVA	ValorLista	ValorPis	PercentualPis	ValorCofins	PercentualCofins	ValorICMS	PercentualICMS	ValorIPI	PercentualIPI	ValorICMSST	ValorLiquido	ValorMercadoriaVista	ValorMercadoriaPrazo	ValorDaNF	QtdeMultiplaPorEmbalagem	PercentualDescontos	PercentualIcmsDestino	ValorIcmsDestino	ValorIB3S	ValorCBS3
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.13060.17	DECA MIX GERAL						CUBA RETANG DE APOIO 60CM-BRANCO	0		Deca - Peca Grande	Luxo	Cuba Slim	'7894202010263	6910.90.00		15	15	KG	BRL	0	0,88	5,06	0	605,06	10,69	1,65	49,25	7,6	88,36	12	0	0	0	610,12	729,86	736,34	736,34	1	0	23	2,3	0,59	5,29
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'TP.11.95	DECA MIX GERAL						TAMPA P/CAIXA ACOP. CD.11F EBANO	0		Deca - Peca Pequena	Pecas de Reposição	Tampas Cx. Luxo	'7894200738688	6910.90.00		2,548	2,548	KG	BRL	0	0,88	0,37	0	41,68	0,78	1,65	3,57	7,6	6,41	12	0	0	0	42,05	52,93	53,4	53,4	1	0	23	2,3	0,04	0,38
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'CD.11F.22	DECA MIX GERAL						CAIXA ACOPL CARR/NUOVA C/DUALFLUX-MARROM	0		Deca - Peca Grande	Luxo	Cx. Acoplada Univ. Luxo	'7894200707523	6910.90.00		15,453	14,788	KG	BRL	0	0,88	3,4	0	429,32	7,19	1,65	33,1	7,6	59,4	12	0	0	0	432,72	490,61	494,97	494,97	1	0	23	2,3	0,4	3,56
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'FM.712.01							CONJUNTO P/INSTALACAO DO MICTORIO M712	0		Deca - Peca Pequena	Outros PP	Produtos Complementares	'7894200716280	4009.22.90		0,388	0,361	KG	BRL	0	0,88	0,71	0	81,04	1,51	1,65	6,94	7,6	12,46	12	6,75	6,5	0	81,75	102,9	103,81	110,56	10	0	23	2,3	0,08	0,75
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'SP.9.01							ESTABILIZADOR P/LAV L915	0		Deca - Peca Pequena	Outros PP	Produtos Complementares	'7894200715979	7318.15.00		0,05	0,05	KG	BRL	0	0,88	0,11	0	12,68	0,24	1,65	1,09	7,6	1,95	12	1,06	6,5	0	12,79	16,1	16,24	17,3	1	0	23	2,3	0,01	0,12
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'TP.11.94	DECA MIX GERAL						TAMPA P/CAIXA ACOP. CD.11F EBANO FOSCO	0		Deca - Peca Pequena	Pecas de Reposição	Tampas Cx. Luxo	'7894200738695	6910.90.00		2,548	2,548	KG	BRL	0	0,88	0,42	0	47,59	0,89	1,65	4,08	7,6	7,32	12	0	0	0	48,01	60,43	60,97	60,97	1	0	23	2,3	0,05	0,44
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'CD.01F.37	DECA MIX GERAL						CX DUO DUNA/M CARLO/VOG/VILLA/FAST-CREME	0		Deca - Peca Grande	Médio	Cx. Acoplada Univ. Médio	'7894200777212	6910.90.00		12,825	12,431	KG	BRL	0	0,88	1,96	0	247,67	4,15	1,65	19,1	7,6	34,26	12	0	0	0	249,63	283,03	285,54	285,54	1	0	23	2,3	0,23	2,05
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'L.11040.M.94	DECA MIX GERAL						CUBA QUADRADA APOIO C MESA 40CM-ÉBANO FC	0		Deca - Peca Grande	Médio	Cuba Slim	'7894202010645	6910.90.00		11,785	11,785	KG	BRL	0	0,88	3,34	0	400	7,07	1,65	32,56	7,6	58,41	12	0	0	0	403,34	482,5	486,78	486,78	1	0	23	2,3	0,39	3,5
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'CD.10A.87							CAIXA ACOPL C/TAMPA BELIZE-A CZ REAL	0		Deca - Peca Grande	Competitivo	Belize	'7894200790020	6910.90.00		11,27	11,171	KG	BRL	0	0,88	1,36	0	154,89	2,88	1,65	13,27	7,6	23,81	12	0	0	0	156,25	196,66	198,41	198,41	1	0	23	2,3	0,16	1,43
Concluída	1036478	MOSAIC ACABAMENTOS LTDA	Revenda	Loucas - Varejo  - Merc Interno	DXMI	SF00189136	MOSAIC MAR - 02/03/2026	02/03/2026	BOUTIQUE C	Bol. - 28/42/56	BP23	'A.380.23							MEIA SABONETEIRA 75X150MM-CARAMELO	0		Deca - Peca Pequena	Pecas de Reposição	Peca Reposição	'7894200710431	6912.00.00		0,781	0,746	KG	BRL	0	0,88	0,04	0	4,88	0,09	1,65	0,42	7,6	0,75	12	0,41	6,5	0	4,92	6,2	6,25	6,66	1	0	23	2,3	0	0,04
